"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Marion County, KY"	"21155"	Suppressed	19365	Suppressed	Suppressed	Suppressed	Suppressed
	"Marshall County, KY"	"21157"	10	31101	Unreliable	15.4	59.1	10.2
	"Martin County, KY"	"21159"	Suppressed	12307	Suppressed	Suppressed	Suppressed	Suppressed
	"Mason County, KY"	"21161"	Suppressed	17099	Suppressed	Suppressed	Suppressed	Suppressed
	"Meade County, KY"	"21163"	Suppressed	27924	Suppressed	Suppressed	Suppressed	Suppressed
	"Menifee County, KY"	"21165"	Suppressed	6358	Suppressed	Suppressed	Suppressed	Suppressed
	"Mercer County, KY"	"21167"	Suppressed	21407	Suppressed	Suppressed	Suppressed	Suppressed
	"Metcalfe County, KY"	"21169"	Suppressed	9909	Suppressed	Suppressed	Suppressed	Suppressed
	"Monroe County, KY"	"21171"	Suppressed	10667	Suppressed	Suppressed	Suppressed	Suppressed
	"Montgomery County, KY"	"21173"	Suppressed	27608	Suppressed	Suppressed	Suppressed	Suppressed
	"Morgan County, KY"	"21175"	Suppressed	13275	Suppressed	Suppressed	Suppressed	Suppressed
	"Muhlenberg County, KY"	"21177"	Suppressed	31183	Suppressed	Suppressed	Suppressed	Suppressed
	"Nelson County, KY"	"21179"	Suppressed	45126	Suppressed	Suppressed	Suppressed	Suppressed
	"Nicholas County, KY"	"21181"	Suppressed	7131	Suppressed	Suppressed	Suppressed	Suppressed
	"Ohio County, KY"	"21183"	Suppressed	24216	Suppressed	Suppressed	Suppressed	Suppressed
	"Oldham County, KY"	"21185"	Suppressed	64875	Suppressed	Suppressed	Suppressed	Suppressed
	"Owen County, KY"	"21187"	Suppressed	10730	Suppressed	Suppressed	Suppressed	Suppressed
	"Owsley County, KY"	"21189"	Suppressed	4461	Suppressed	Suppressed	Suppressed	Suppressed
	"Pendleton County, KY"	"21191"	Suppressed	14408	Suppressed	Suppressed	Suppressed	Suppressed
	"Perry County, KY"	"21193"	Suppressed	27565	Suppressed	Suppressed	Suppressed	Suppressed
	"Pike County, KY"	"21195"	13	61792	Unreliable	11.2	36.0	5.8
	"Powell County, KY"	"21197"	Suppressed	12269	Suppressed	Suppressed	Suppressed	Suppressed
	"Pulaski County, KY"	"21199"	18	63782	Unreliable	16.7	44.6	6.7
	"Robertson County, KY"	"21201"	Suppressed	2138	Suppressed	Suppressed	Suppressed	Suppressed
	"Rockcastle County, KY"	"21203"	Suppressed	16942	Suppressed	Suppressed	Suppressed	Suppressed
	"Rowan County, KY"	"21205"	Suppressed	23892	Suppressed	Suppressed	Suppressed	Suppressed
	"Russell County, KY"	"21207"	Suppressed	17662	Suppressed	Suppressed	Suppressed	Suppressed
	"Scott County, KY"	"21209"	Suppressed	52420	Suppressed	Suppressed	Suppressed	Suppressed
	"Shelby County, KY"	"21211"	Suppressed	45632	Suppressed	Suppressed	Suppressed	Suppressed
	"Simpson County, KY"	"21213"	Suppressed	18006	Suppressed	Suppressed	Suppressed	Suppressed
	"Spencer County, KY"	"21215"	Suppressed	17894	Suppressed	Suppressed	Suppressed	Suppressed
	"Taylor County, KY"	"21217"	Suppressed	25420	Suppressed	Suppressed	Suppressed	Suppressed
	"Todd County, KY"	"21219"	Suppressed	12531	Suppressed	Suppressed	Suppressed	Suppressed
	"Trigg County, KY"	"21221"	Suppressed	14233	Suppressed	Suppressed	Suppressed	Suppressed
	"Trimble County, KY"	"21223"	Suppressed	8769	Suppressed	Suppressed	Suppressed	Suppressed
	"Union County, KY"	"21225"	Suppressed	15050	Suppressed	Suppressed	Suppressed	Suppressed
	"Warren County, KY"	"21227"	18	122851	Unreliable	8.7	23.2	3.5
	"Washington County, KY"	"21229"	Suppressed	12063	Suppressed	Suppressed	Suppressed	Suppressed
	"Wayne County, KY"	"21231"	Suppressed	20464	Suppressed	Suppressed	Suppressed	Suppressed
	"Webster County, KY"	"21233"	Suppressed	13170	Suppressed	Suppressed	Suppressed	Suppressed
	"Whitley County, KY"	"21235"	Suppressed	36129	Suppressed	Suppressed	Suppressed	Suppressed
	"Wolfe County, KY"	"21237"	Suppressed	7259	Suppressed	Suppressed	Suppressed	Suppressed
	"Woodford County, KY"	"21239"	Suppressed	25793	Suppressed	Suppressed	Suppressed	Suppressed
	"Acadia Parish, LA"	"22001"	Suppressed	62577	Suppressed	Suppressed	Suppressed	Suppressed
	"Allen Parish, LA"	"22003"	Suppressed	25683	Suppressed	Suppressed	Suppressed	Suppressed
	"Ascension Parish, LA"	"22005"	15	119455	Unreliable	7.0	20.7	3.2
	"Assumption Parish, LA"	"22007"	Suppressed	22842	Suppressed	Suppressed	Suppressed	Suppressed
	"Avoyelles Parish, LA"	"22009"	10	41103	Unreliable	11.7	44.7	7.7
	"Beauregard Parish, LA"	"22011"	Suppressed	36462	Suppressed	Suppressed	Suppressed	Suppressed
	"Bienville Parish, LA"	"22013"	Suppressed	13786	Suppressed	Suppressed	Suppressed	Suppressed
	"Bossier Parish, LA"	"22015"	18	125175	Unreliable	8.5	22.7	3.4
	"Caddo Parish, LA"	"22017"	39	251460	15.5	11.0	21.2	2.5
	"Calcasieu Parish, LA"	"22019"	44	198788	22.1	16.1	29.7	3.3
	"Caldwell Parish, LA"	"22021"	Suppressed	9993	Suppressed	Suppressed	Suppressed	Suppressed
	"Cameron Parish, LA"	"22023"	Suppressed	6817	Suppressed	Suppressed	Suppressed	Suppressed
	"Catahoula Parish, LA"	"22025"	Suppressed	10147	Suppressed	Suppressed	Suppressed	Suppressed
	"Claiborne Parish, LA"	"22027"	Suppressed	16295	Suppressed	Suppressed	Suppressed	Suppressed
	"Concordia Parish, LA"	"22029"	Suppressed	20142	Suppressed	Suppressed	Suppressed	Suppressed
	"De Soto Parish, LA"	"22031"	Suppressed	27052	Suppressed	Suppressed	Suppressed	Suppressed
	"East Baton Rouge Parish, LA"	"22033"	49	446753	11.0	8.1	14.5	1.6
	"East Carroll Parish, LA"	"22035"	Suppressed	7307	Suppressed	Suppressed	Suppressed	Suppressed
	"East Feliciana Parish, LA"	"22037"	Suppressed	19696	Suppressed	Suppressed	Suppressed	Suppressed
	"Evangeline Parish, LA"	"22039"	13	33743	Unreliable	20.5	65.9	10.7
