"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Garfield County, MT"	"30033"	Suppressed	1314	Suppressed	Suppressed	Suppressed	Suppressed
	"Glacier County, MT"	"30035"	Suppressed	13647	Suppressed	Suppressed	Suppressed	Suppressed
	"Golden Valley County, MT"	"30037"	Suppressed	827	Suppressed	Suppressed	Suppressed	Suppressed
	"Granite County, MT"	"30039"	Suppressed	3240	Suppressed	Suppressed	Suppressed	Suppressed
	"Hill County, MT"	"30041"	Suppressed	16572	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, MT"	"30043"	Suppressed	11645	Suppressed	Suppressed	Suppressed	Suppressed
	"Judith Basin County, MT"	"30045"	Suppressed	1926	Suppressed	Suppressed	Suppressed	Suppressed
	"Lake County, MT"	"30047"	15	29457	Unreliable	28.5	84.0	13.1
	"Lewis and Clark County, MT"	"30049"	18	66418	Unreliable	16.1	42.8	6.4
	"Liberty County, MT"	"30051"	Suppressed	2408	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, MT"	"30053"	10	19052	Unreliable	25.2	96.5	16.6
	"McCone County, MT"	"30055"	Suppressed	1683	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, MT"	"30057"	Suppressed	7915	Suppressed	Suppressed	Suppressed	Suppressed
	"Meagher County, MT"	"30059"	Suppressed	1830	Suppressed	Suppressed	Suppressed	Suppressed
	"Mineral County, MT"	"30061"	Suppressed	4251	Suppressed	Suppressed	Suppressed	Suppressed
	"Missoula County, MT"	"30063"	25	114181	21.9	14.2	32.3	4.4
	"Musselshell County, MT"	"30065"	Suppressed	4582	Suppressed	Suppressed	Suppressed	Suppressed
	"Park County, MT"	"30067"	Suppressed	15972	Suppressed	Suppressed	Suppressed	Suppressed
	"Petroleum County, MT"	"30069"	Suppressed	475	Suppressed	Suppressed	Suppressed	Suppressed
	"Phillips County, MT"	"30071"	Suppressed	4169	Suppressed	Suppressed	Suppressed	Suppressed
	"Pondera County, MT"	"30073"	Suppressed	6184	Suppressed	Suppressed	Suppressed	Suppressed
	"Powder River County, MT"	"30075"	Suppressed	1773	Suppressed	Suppressed	Suppressed	Suppressed
	"Powell County, MT"	"30077"	Suppressed	6840	Suppressed	Suppressed	Suppressed	Suppressed
	"Prairie County, MT"	"30079"	Suppressed	1160	Suppressed	Suppressed	Suppressed	Suppressed
	"Ravalli County, MT"	"30081"	11	41373	Unreliable	13.3	47.6	8.0
	"Richland County, MT"	"30083"	Suppressed	11960	Suppressed	Suppressed	Suppressed	Suppressed
	"Roosevelt County, MT"	"30085"	Suppressed	11476	Suppressed	Suppressed	Suppressed	Suppressed
	"Rosebud County, MT"	"30087"	Suppressed	9398	Suppressed	Suppressed	Suppressed	Suppressed
	"Sanders County, MT"	"30089"	Suppressed	11336	Suppressed	Suppressed	Suppressed	Suppressed
	"Sheridan County, MT"	"30091"	Suppressed	3687	Suppressed	Suppressed	Suppressed	Suppressed
	"Silver Bow County, MT"	"30093"	11	34622	Unreliable	15.9	56.8	9.6
	"Stillwater County, MT"	"30095"	Suppressed	9486	Suppressed	Suppressed	Suppressed	Suppressed
	"Sweet Grass County, MT"	"30097"	Suppressed	3634	Suppressed	Suppressed	Suppressed	Suppressed
	"Teton County, MT"	"30099"	Suppressed	6104	Suppressed	Suppressed	Suppressed	Suppressed
	"Toole County, MT"	"30101"	Suppressed	5087	Suppressed	Suppressed	Suppressed	Suppressed
	"Treasure County, MT"	"30103"	Suppressed	697	Suppressed	Suppressed	Suppressed	Suppressed
	"Valley County, MT"	"30105"	Suppressed	7659	Suppressed	Suppressed	Suppressed	Suppressed
	"Wheatland County, MT"	"30107"	Suppressed	2110	Suppressed	Suppressed	Suppressed	Suppressed
	"Wibaux County, MT"	"30109"	Suppressed	1130	Suppressed	Suppressed	Suppressed	Suppressed
	"Yellowstone County, MT"	"30111"	39	157048	24.8	17.7	33.9	4.0
	"Adams County, NE"	"31001"	10	31587	Unreliable	15.2	58.2	10.0
	"Antelope County, NE"	"31003"	Suppressed	6414	Suppressed	Suppressed	Suppressed	Suppressed
	"Arthur County, NE"	"31005"	Suppressed	456	Suppressed	Suppressed	Suppressed	Suppressed
	"Banner County, NE"	"31007"	Suppressed	788	Suppressed	Suppressed	Suppressed	Suppressed
	"Blaine County, NE"	"31009"	Suppressed	487	Suppressed	Suppressed	Suppressed	Suppressed
	"Boone County, NE"	"31011"	Suppressed	5315	Suppressed	Suppressed	Suppressed	Suppressed
	"Box Butte County, NE"	"31013"	Suppressed	11337	Suppressed	Suppressed	Suppressed	Suppressed
	"Boyd County, NE"	"31015"	Suppressed	2006	Suppressed	Suppressed	Suppressed	Suppressed
	"Brown County, NE"	"31017"	Suppressed	2946	Suppressed	Suppressed	Suppressed	Suppressed
	"Buffalo County, NE"	"31019"	Suppressed	48863	Suppressed	Suppressed	Suppressed	Suppressed
	"Burt County, NE"	"31021"	Suppressed	6585	Suppressed	Suppressed	Suppressed	Suppressed
	"Butler County, NE"	"31023"	Suppressed	8115	Suppressed	Suppressed	Suppressed	Suppressed
	"Cass County, NE"	"31025"	Suppressed	25512	Suppressed	Suppressed	Suppressed	Suppressed
	"Cedar County, NE"	"31027"	Suppressed	8564	Suppressed	Suppressed	Suppressed	Suppressed
	"Chase County, NE"	"31029"	Suppressed	3956	Suppressed	Suppressed	Suppressed	Suppressed
	"Cherry County, NE"	"31031"	Suppressed	5848	Suppressed	Suppressed	Suppressed	Suppressed
	"Cheyenne County, NE"	"31033"	Suppressed	10167	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, NE"	"31035"	Suppressed	6309	Suppressed	Suppressed	Suppressed	Suppressed
	"Colfax County, NE"	"31037"	Suppressed	10520	Suppressed	Suppressed	Suppressed	Suppressed
	"Cuming County, NE"	"31039"	Suppressed	9125	Suppressed	Suppressed	Suppressed	Suppressed
	"Custer County, NE"	"31041"	Suppressed	10806	Suppressed	Suppressed	Suppressed	Suppressed
	"Dakota County, NE"	"31043"	Suppressed	20781	Suppressed	Suppressed	Suppressed	Suppressed
	"Dawes County, NE"	"31045"	Suppressed	9055	Suppressed	Suppressed	Suppressed	Suppressed
	"Dawson County, NE"	"31047"	Suppressed	23886	Suppressed	Suppressed	Suppressed	Suppressed
	"Deuel County, NE"	"31049"	Suppressed	1921	Suppressed	Suppressed	Suppressed	Suppressed
	"Dixon County, NE"	"31051"	Suppressed	5797	Suppressed	Suppressed	Suppressed	Suppressed
	"Dodge County, NE"	"31053"	Suppressed	36706	Suppressed	Suppressed	Suppressed	Suppressed
	"Douglas County, NE"	"31055"	64	550064	11.6	9.0	14.9	1.5
	"Dundy County, NE"	"31057"	Suppressed	1799	Suppressed	Suppressed	Suppressed	Suppressed
	"Fillmore County, NE"	"31059"	Suppressed	5619	Suppressed	Suppressed	Suppressed	Suppressed
	"Franklin County, NE"	"31061"	Suppressed	2985	Suppressed	Suppressed	Suppressed	Suppressed
	"Frontier County, NE"	"31063"	Suppressed	2624	Suppressed	Suppressed	Suppressed	Suppressed
	"Furnas County, NE"	"31065"	Suppressed	4862	Suppressed	Suppressed	Suppressed	Suppressed
	"Gage County, NE"	"31067"	Suppressed	21900	Suppressed	Suppressed	Suppressed	Suppressed
	"Garden County, NE"	"31069"	Suppressed	1918	Suppressed	Suppressed	Suppressed	Suppressed
	"Garfield County, NE"	"31071"	Suppressed	2028	Suppressed	Suppressed	Suppressed	Suppressed
	"Gosper County, NE"	"31073"	Suppressed	1973	Suppressed	Suppressed	Suppressed	Suppressed
	"Grant County, NE"	"31075"	Suppressed	641	Suppressed	Suppressed	Suppressed	Suppressed
	"Greeley County, NE"	"31077"	Suppressed	2429	Suppressed	Suppressed	Suppressed	Suppressed
	"Hall County, NE"	"31079"	Suppressed	61680	Suppressed	Suppressed	Suppressed	Suppressed
	"Hamilton County, NE"	"31081"	Suppressed	9190	Suppressed	Suppressed	Suppressed	Suppressed
	"Harlan County, NE"	"31083"	Suppressed	3452	Suppressed	Suppressed	Suppressed	Suppressed
	"Hayes County, NE"	"31085"	Suppressed	932	Suppressed	Suppressed	Suppressed	Suppressed
	"Hitchcock County, NE"	"31087"	Suppressed	2883	Suppressed	Suppressed	Suppressed	Suppressed
	"Holt County, NE"	"31089"	Suppressed	10313	Suppressed	Suppressed	Suppressed	Suppressed
	"Hooker County, NE"	"31091"	Suppressed	732	Suppressed	Suppressed	Suppressed	Suppressed
	"Howard County, NE"	"31093"	Suppressed	6409	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, NE"	"31095"	Suppressed	7263	Suppressed	Suppressed	Suppressed	Suppressed
	"Johnson County, NE"	"31097"	Suppressed	5173	Suppressed	Suppressed	Suppressed	Suppressed
	"Kearney County, NE"	"31099"	Suppressed	6585	Suppressed	Suppressed	Suppressed	Suppressed
	"Keith County, NE"	"31101"	Suppressed	8063	Suppressed	Suppressed	Suppressed	Suppressed
	"Keya Paha County, NE"	"31103"	Suppressed	804	Suppressed	Suppressed	Suppressed	Suppressed
	"Kimball County, NE"	"31105"	Suppressed	3689	Suppressed	Suppressed	Suppressed	Suppressed
	"Knox County, NE"	"31107"	Suppressed	8543	Suppressed	Suppressed	Suppressed	Suppressed
	"Lancaster County, NE"	"31109"	38	306468	12.4	8.8	17.0	2.0
	"Lincoln County, NE"	"31111"	Suppressed	35656	Suppressed	Suppressed	Suppressed	Suppressed
	"Logan County, NE"	"31113"	Suppressed	777	Suppressed	Suppressed	Suppressed	Suppressed
	"Loup County, NE"	"31115"	Suppressed	585	Suppressed	Suppressed	Suppressed	Suppressed
	"McPherson County, NE"	"31117"	Suppressed	475	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, NE"	"31119"	Suppressed	35039	Suppressed	Suppressed	Suppressed	Suppressed
	"Merrick County, NE"	"31121"	Suppressed	7787	Suppressed	Suppressed	Suppressed	Suppressed
	"Morrill County, NE"	"31123"	Suppressed	4854	Suppressed	Suppressed	Suppressed	Suppressed
	"Nance County, NE"	"31125"	Suppressed	3595	Suppressed	Suppressed	Suppressed	Suppressed
	"Nemaha County, NE"	"31127"	Suppressed	7046	Suppressed	Suppressed	Suppressed	Suppressed
	"Nuckolls County, NE"	"31129"	Suppressed	4329	Suppressed	Suppressed	Suppressed	Suppressed
	"Otoe County, NE"	"31131"	Suppressed	15984	Suppressed	Suppressed	Suppressed	Suppressed
	"Pawnee County, NE"	"31133"	Suppressed	2659	Suppressed	Suppressed	Suppressed	Suppressed
	"Perkins County, NE"	"31135"	Suppressed	2944	Suppressed	Suppressed	Suppressed	Suppressed
	"Phelps County, NE"	"31137"	Suppressed	9296	Suppressed	Suppressed	Suppressed	Suppressed
	"Pierce County, NE"	"31139"	Suppressed	7208	Suppressed	Suppressed	Suppressed	Suppressed
	"Platte County, NE"	"31141"	Suppressed	32847	Suppressed	Suppressed	Suppressed	Suppressed
	"Polk County, NE"	"31143"	Suppressed	5202	Suppressed	Suppressed	Suppressed	Suppressed
	"Red Willow County, NE"	"31145"	Suppressed	10829	Suppressed	Suppressed	Suppressed	Suppressed
	"Richardson County, NE"	"31147"	Suppressed	8094	Suppressed	Suppressed	Suppressed	Suppressed
	"Rock County, NE"	"31149"	Suppressed	1381	Suppressed	Suppressed	Suppressed	Suppressed
	"Saline County, NE"	"31151"	Suppressed	14282	Suppressed	Suppressed	Suppressed	Suppressed
	"Sarpy County, NE"	"31153"	14	175692	Unreliable	4.4	13.4	2.1
	"Saunders County, NE"	"31155"	Suppressed	21016	Suppressed	Suppressed	Suppressed	Suppressed
	"Scotts Bluff County, NE"	"31157"	Suppressed	36261	Suppressed	Suppressed	Suppressed	Suppressed
	"Seward County, NE"	"31159"	Suppressed	17110	Suppressed	Suppressed	Suppressed	Suppressed
	"Sheridan County, NE"	"31161"	Suppressed	5220	Suppressed	Suppressed	Suppressed	Suppressed
	"Sherman County, NE"	"31163"	Suppressed	3091	Suppressed	Suppressed	Suppressed	Suppressed
	"Sioux County, NE"	"31165"	Suppressed	1260	Suppressed	Suppressed	Suppressed	Suppressed
	"Stanton County, NE"	"31167"	Suppressed	5937	Suppressed	Suppressed	Suppressed	Suppressed
	"Thayer County, NE"	"31169"	Suppressed	5163	Suppressed	Suppressed	Suppressed	Suppressed
	"Thomas County, NE"	"31171"	Suppressed	684	Suppressed	Suppressed	Suppressed	Suppressed
	"Thurston County, NE"	"31173"	Suppressed	7064	Suppressed	Suppressed	Suppressed	Suppressed
	"Valley County, NE"	"31175"	Suppressed	4154	Suppressed	Suppressed	Suppressed	Suppressed
	"Washington County, NE"	"31177"	Suppressed	20248	Suppressed	Suppressed	Suppressed	Suppressed
	"Wayne County, NE"	"31179"	Suppressed	9367	Suppressed	Suppressed	Suppressed	Suppressed
	"Webster County, NE"	"31181"	Suppressed	3625	Suppressed	Suppressed	Suppressed	Suppressed
	"Wheeler County, NE"	"31183"	Suppressed	750	Suppressed	Suppressed	Suppressed	Suppressed
	"York County, NE"	"31185"	Suppressed	13806	Suppressed	Suppressed	Suppressed	Suppressed
	"Churchill County, NV"	"32001"	Suppressed	24200	Suppressed	Suppressed	Suppressed	Suppressed
	"Clark County, NV"	"32003"	374	2114801	17.7	15.9	19.5	0.9
	"Douglas County, NV"	"32005"	Suppressed	47710	Suppressed	Suppressed	Suppressed	Suppressed
	"Elko County, NV"	"32007"	14	51935	Unreliable	14.7	45.2	7.2
	"Esmeralda County, NV"	"32009"	Suppressed	829	Suppressed	Suppressed	Suppressed	Suppressed
	"Eureka County, NV"	"32011"	Suppressed	2016	Suppressed	Suppressed	Suppressed	Suppressed
	"Humboldt County, NV"	"32013"	Suppressed	17019	Suppressed	Suppressed	Suppressed	Suppressed
	"Lander County, NV"	"32015"	Suppressed	5903	Suppressed	Suppressed	Suppressed	Suppressed
	"Lincoln County, NV"	"32017"	Suppressed	5036	Suppressed	Suppressed	Suppressed	Suppressed
	"Lyon County, NV"	"32019"	10	52585	Unreliable	9.1	35.0	6.0
	"Mineral County, NV"	"32021"	Suppressed	4478	Suppressed	Suppressed	Suppressed	Suppressed
	"Nye County, NV"	"32023"	13	42477	Unreliable	16.3	52.3	8.5
	"Pershing County, NV"	"32027"	Suppressed	6634	Suppressed	Suppressed	Suppressed	Suppressed
	"Storey County, NV"	"32029"	Suppressed	3987	Suppressed	Suppressed	Suppressed	Suppressed
	"Washoe County, NV"	"32031"	97	446903	21.7	17.6	26.5	2.2
	"White Pine County, NV"	"32033"	Suppressed	9811	Suppressed	Suppressed	Suppressed	Suppressed
	"Carson City, NV"	"32510"	13	54521	Unreliable	12.7	40.8	6.6
	"Belknap County, NH"	"33001"	13	60641	Unreliable	11.4	36.7	5.9
	"Carroll County, NH"	"33003"	14	47285	Unreliable	16.2	49.7	7.9
	"Cheshire County, NH"	"33005"	12	75909	Unreliable	8.2	27.6	4.6
	"Coos County, NH"	"33007"	Suppressed	31212	Suppressed	Suppressed	Suppressed	Suppressed
	"Grafton County, NH"	"33009"	13	89320	Unreliable	7.7	24.9	4.0
	"Hillsborough County, NH"	"33011"	69	406678	17.0	13.2	21.5	2.0
	"Merrimack County, NH"	"33013"	26	147994	17.6	11.5	25.7	3.4
	"Rockingham County, NH"	"33015"	53	301777	17.6	13.2	23.0	2.4
	"Strafford County, NH"	"33017"	17	126825	Unreliable	7.8	21.5	3.3
	"Sullivan County, NH"	"33019"	Suppressed	42967	Suppressed	Suppressed	Suppressed	Suppressed
	"Atlantic County, NJ"	"34001"	36	274219	13.1	9.2	18.2	2.2
	"Bergen County, NJ"	"34003"	66	938506	7.0	5.4	8.9	0.9
	"Burlington County, NJ"	"34005"	47	450226	10.4	7.7	13.9	1.5
	"Camden County, NJ"	"34007"	56	510923	11.0	8.3	14.2	1.5
	"Cape May County, NJ"	"34009"	16	94727	Unreliable	9.7	27.4	4.2
	"Cumberland County, NJ"	"34011"	18	155854	Unreliable	6.8	18.3	2.7
	"Essex County, NJ"	"34013"	42	797434	5.3	3.8	7.1	0.8
	"Gloucester County, NJ"	"34015"	34	291479	11.7	8.1	16.3	2.0
	"Hudson County, NJ"	"34017"	44	674836	6.5	4.7	8.8	1.0
	"Hunterdon County, NJ"	"34019"	16	125488	Unreliable	7.3	20.7	3.2
	"Mercer County, NJ"	"34021"	30	371398	8.1	5.4	11.5	1.5
	"Middlesex County, NJ"	"34023"	70	840900	8.3	6.5	10.5	1.0
	"Monmouth County, NJ"	"34025"	71	628715	11.3	8.8	14.2	1.3
	"Morris County, NJ"	"34027"	47	499509	9.4	6.9	12.5	1.4
	"Ocean County, NJ"	"34029"	67	588721	11.4	8.8	14.5	1.4
	"Passaic County, NJ"	"34031"	25	510916	4.9	3.2	7.2	1.0
	"Salem County, NJ"	"34033"	Suppressed	64180	Suppressed	Suppressed	Suppressed	Suppressed
	"Somerset County, NJ"	"34035"	18	333654	Unreliable	3.2	8.5	1.3
	"Sussex County, NJ"	"34037"	29	143673	20.2	13.5	29.0	3.7
	"Union County, NJ"	"34039"	40	555786	7.2	5.1	9.8	1.1
	"Warren County, NJ"	"34041"	Suppressed	106869	Suppressed	Suppressed	Suppressed	Suppressed
	"Bernalillo County, NM"	"35001"	155	676685	22.9	19.3	26.5	1.8
	"Catron County, NM"	"35003"	Suppressed	3456	Suppressed	Suppressed	Suppressed	Suppressed
	"Chaves County, NM"	"35005"	17	65764	Unreliable	15.1	41.4	6.3
	"Cibola County, NM"	"35006"	Suppressed	27329	Suppressed	Suppressed	Suppressed	Suppressed
	"Colfax County, NM"	"35007"	Suppressed	12414	Suppressed	Suppressed	Suppressed	Suppressed
	"Curry County, NM"	"35009"	14	50398	Unreliable	15.2	46.6	7.4
	"DeBaca County, NM"	"35011"	Suppressed	1828	Suppressed	Suppressed	Suppressed	Suppressed
	"Dona Ana County, NM"	"35013"	40	214295	18.7	13.3	25.4	3.0
	"Eddy County, NM"	"35015"	16	57578	Unreliable	15.9	45.1	6.9
	"Grant County, NM"	"35017"	Suppressed	28609	Suppressed	Suppressed	Suppressed	Suppressed
	"Guadalupe County, NM"	"35019"	Suppressed	4371	Suppressed	Suppressed	Suppressed	Suppressed
	"Harding County, NM"	"35021"	Suppressed	698	Suppressed	Suppressed	Suppressed	Suppressed
	"Hidalgo County, NM"	"35023"	Suppressed	4423	Suppressed	Suppressed	Suppressed	Suppressed
	"Lea County, NM"	"35025"	16	71180	Unreliable	12.8	36.5	5.6
	"Lincoln County, NM"	"35027"	Suppressed	19420	Suppressed	Suppressed	Suppressed	Suppressed
	"Los Alamos County, NM"	"35028"	Suppressed	17785	Suppressed	Suppressed	Suppressed	Suppressed
	"Luna County, NM"	"35029"	Suppressed	24518	Suppressed	Suppressed	Suppressed	Suppressed
	"McKinley County, NM"	"35031"	16	76708	Unreliable	11.9	33.9	5.2
	"Mora County, NM"	"35033"	Suppressed	4596	Suppressed	Suppressed	Suppressed	Suppressed
	"Otero County, NM"	"35035"	11	64362	Unreliable	8.5	30.6	5.2
	"Quay County, NM"	"35037"	Suppressed	8455	Suppressed	Suppressed	Suppressed	Suppressed
	"Rio Arriba County, NM"	"35039"	18	39465	Unreliable	27.0	72.1	10.8
	"Roosevelt County, NM"	"35041"	Suppressed	19120	Suppressed	Suppressed	Suppressed	Suppressed
	"Sandoval County, NM"	"35043"	26	139394	18.7	12.2	27.3	3.7
	"San Juan County, NM"	"35045"	40	118737	33.7	24.1	45.9	5.3
	"San Miguel County, NM"	"35047"	Suppressed	27967	Suppressed	Suppressed	Suppressed	Suppressed
	"Santa Fe County, NM"	"35049"	29	148686	19.5	13.1	28.0	3.6
	"Sierra County, NM"	"35051"	Suppressed	11282	Suppressed	Suppressed	Suppressed	Suppressed
	"Socorro County, NM"	"35053"	Suppressed	17256	Suppressed	Suppressed	Suppressed	Suppressed
	"Taos County, NM"	"35055"	10	32907	Unreliable	14.6	55.9	9.6
	"Torrance County, NM"	"35057"	Suppressed	15485	Suppressed	Suppressed	Suppressed	Suppressed
	"Union County, NM"	"35059"	Suppressed	4201	Suppressed	Suppressed	Suppressed	Suppressed
	"Valencia County, NM"	"35061"	16	75737	Unreliable	12.1	34.3	5.3
	"Albany County, NY"	"36001"	32	309381	10.3	7.1	14.6	1.8
	"Allegany County, NY"	"36003"	Suppressed	47462	Suppressed	Suppressed	Suppressed	Suppressed
	"Bronx County, NY"	"36005"	87	1455444	6.0	4.8	7.4	0.6
	"Broome County, NY"	"36007"	18	196567	Unreliable	5.4	14.5	2.2
	"Cattaraugus County, NY"	"36009"	11	77922	Unreliable	7.0	25.3	4.3
	"Cayuga County, NY"	"36011"	Suppressed	78288	Suppressed	Suppressed	Suppressed	Suppressed
	"Chautauqua County, NY"	"36013"	16	130779	Unreliable	7.0	19.9	3.1
	"Chemung County, NY"	"36015"	Suppressed	87071	Suppressed	Suppressed	Suppressed	Suppressed
	"Chenango County, NY"	"36017"	Suppressed	48844	Suppressed	Suppressed	Suppressed	Suppressed
	"Clinton County, NY"	"36019"	14	81251	Unreliable	9.4	28.9	4.6
	"Columbia County, NY"	"36021"	Suppressed	61509	Suppressed	Suppressed	Suppressed	Suppressed
	"Cortland County, NY"	"36023"	Suppressed	48494	Suppressed	Suppressed	Suppressed	Suppressed
	"Delaware County, NY"	"36025"	Suppressed	46053	Suppressed	Suppressed	Suppressed	Suppressed
	"Dutchess County, NY"	"36027"	34	295754	11.5	8.0	16.1	2.0
	"Erie County, NY"	"36029"	100	922578	10.8	8.7	13.0	1.1
	"Essex County, NY"	"36031"	Suppressed	38478	Suppressed	Suppressed	Suppressed	Suppressed
	"Franklin County, NY"	"36033"	Suppressed	50660	Suppressed	Suppressed	Suppressed	Suppressed
	"Fulton County, NY"	"36035"	11	53992	Unreliable	10.2	36.5	6.1
	"Genesee County, NY"	"36037"	Suppressed	58937	Suppressed	Suppressed	Suppressed	Suppressed
	"Greene County, NY"	"36039"	13	47625	Unreliable	14.5	46.7	7.6
	"Hamilton County, NY"	"36041"	Suppressed	4712	Suppressed	Suppressed	Suppressed	Suppressed
	"Herkimer County, NY"	"36043"	Suppressed	63100	Suppressed	Suppressed	Suppressed	Suppressed
	"Jefferson County, NY"	"36045"	Suppressed	117635	Suppressed	Suppressed	Suppressed	Suppressed
	"Kings County, NY"	"36047"	137	2636735	5.2	4.3	6.1	0.4
	"Lewis County, NY"	"36049"	Suppressed	26957	Suppressed	Suppressed	Suppressed	Suppressed
	"Livingston County, NY"	"36051"	Suppressed	64717	Suppressed	Suppressed	Suppressed	Suppressed
	"Madison County, NY"	"36053"	14	71849	Unreliable	10.7	32.7	5.2
	"Monroe County, NY"	"36055"	80	749600	10.7	8.5	13.3	1.2
	"Montgomery County, NY"	"36057"	Suppressed	49642	Suppressed	Suppressed	Suppressed	Suppressed
	"Nassau County, NY"	"36059"	94	1361350	6.9	5.6	8.4	0.7
	"New York County, NY"	"36061"	130	1644518	7.9	6.5	9.3	0.7
	"Niagara County, NY"	"36063"	33	212652	15.5	10.7	21.8	2.7
	"Oneida County, NY"	"36065"	22	232500	9.5	5.9	14.3	2.0
	"Onondaga County, NY"	"36067"	50	468463	10.7	7.9	14.1	1.5
	"Ontario County, NY"	"36069"	14	109561	Unreliable	7.0	21.4	3.4
	"Orange County, NY"	"36071"	29	377647	7.7	5.1	11.0	1.4
	"Orleans County, NY"	"36073"	Suppressed	41582	Suppressed	Suppressed	Suppressed	Suppressed
	"Oswego County, NY"	"36075"	21	120146	17.5	10.8	26.7	3.8
	"Otsego County, NY"	"36077"	10	60636	Unreliable	7.9	30.3	5.2
	"Putnam County, NY"	"36079"	Suppressed	99042	Suppressed	Suppressed	Suppressed	Suppressed
	"Queens County, NY"	"36081"	136	2339150	5.8	4.8	6.8	0.5
	"Rensselaer County, NY"	"36083"	19	160266	Unreliable	7.1	18.5	2.7
	"Richmond County, NY"	"36085"	33	474558	7.0	4.8	9.8	1.2
	"Rockland County, NY"	"36087"	18	326037	Unreliable	3.3	8.7	1.3
	"St. Lawrence County, NY"	"36089"	11	111007	Unreliable	4.9	17.7	3.0
	"Saratoga County, NY"	"36091"	35	226249	15.5	10.8	21.5	2.6
	"Schenectady County, NY"	"36093"	15	154604	Unreliable	5.4	16.0	2.5
	"Schoharie County, NY"	"36095"	Suppressed	31330	Suppressed	Suppressed	Suppressed	Suppressed
	"Schuyler County, NY"	"36097"	Suppressed	18186	Suppressed	Suppressed	Suppressed	Suppressed
	"Seneca County, NY"	"36099"	Suppressed	34833	Suppressed	Suppressed	Suppressed	Suppressed
	"Steuben County, NY"	"36101"	Suppressed	97631	Suppressed	Suppressed	Suppressed	Suppressed
	"Suffolk County, NY"	"36103"	141	1501587	9.4	7.8	10.9	0.8
	"Sullivan County, NY"	"36105"	Suppressed	74877	Suppressed	Suppressed	Suppressed	Suppressed
	"Tioga County, NY"	"36107"	Suppressed	49453	Suppressed	Suppressed	Suppressed	Suppressed
	"Tompkins County, NY"	"36109"	Suppressed	104926	Suppressed	Suppressed	Suppressed	Suppressed
	"Ulster County, NY"	"36111"	31	180143	17.2	11.7	24.4	3.1
	"Warren County, NY"	"36113"	11	64688	Unreliable	8.5	30.4	5.1
	"Washington County, NY"	"36115"	Suppressed	62230	Suppressed	Suppressed	Suppressed	Suppressed
	"Wayne County, NY"	"36117"	11	91446	Unreliable	6.0	21.5	3.6
	"Westchester County, NY"	"36119"	61	976396	6.2	4.8	8.0	0.8
	"Wyoming County, NY"	"36121"	Suppressed	41013	Suppressed	Suppressed	Suppressed	Suppressed
	"Yates County, NY"	"36123"	Suppressed	25048	Suppressed	Suppressed	Suppressed	Suppressed
	"Alamance County, NC"	"37001"	15	158276	Unreliable	5.3	15.6	2.4
	"Alexander County, NC"	"37003"	Suppressed	37325	Suppressed	Suppressed	Suppressed	Suppressed
	"Alleghany County, NC"	"37005"	Suppressed	10837	Suppressed	Suppressed	Suppressed	Suppressed
	"Anson County, NC"	"37007"	Suppressed	25759	Suppressed	Suppressed	Suppressed	Suppressed
	"Ashe County, NC"	"37009"	Suppressed	27020	Suppressed	Suppressed	Suppressed	Suppressed
	"Avery County, NC"	"37011"	Suppressed	17689	Suppressed	Suppressed	Suppressed	Suppressed
	"Beaufort County, NC"	"37013"	11	47651	Unreliable	11.5	41.3	7.0
	"Bertie County, NC"	"37015"	Suppressed	20199	Suppressed	Suppressed	Suppressed	Suppressed
	"Bladen County, NC"	"37017"	Suppressed	34318	Suppressed	Suppressed	Suppressed	Suppressed
	"Brunswick County, NC"	"37019"	17	122765	Unreliable	8.1	22.2	3.4
	"Buncombe County, NC"	"37021"	36	253178	14.2	10.0	19.7	2.4
	"Burke County, NC"	"37023"	16	88842	Unreliable	10.3	29.2	4.5
	"Cabarrus County, NC"	"37025"	28	196762	14.2	9.5	20.6	2.7
	"Caldwell County, NC"	"37027"	18	81287	Unreliable	13.1	35.0	5.2
	"Camden County, NC"	"37029"	Suppressed	10309	Suppressed	Suppressed	Suppressed	Suppressed
	"Carteret County, NC"	"37031"	17	68879	Unreliable	14.4	39.5	6.0
	"Caswell County, NC"	"37033"	Suppressed	22941	Suppressed	Suppressed	Suppressed	Suppressed
	"Catawba County, NC"	"37035"	33	155056	21.3	14.6	29.9	3.7
	"Chatham County, NC"	"37037"	Suppressed	70928	Suppressed	Suppressed	Suppressed	Suppressed
	"Cherokee County, NC"	"37039"	Suppressed	27178	Suppressed	Suppressed	Suppressed	Suppressed
	"Chowan County, NC"	"37041"	Suppressed	14394	Suppressed	Suppressed	Suppressed	Suppressed
	"Clay County, NC"	"37043"	Suppressed	10703	Suppressed	Suppressed	Suppressed	Suppressed
	"Cleveland County, NC"	"37045"	18	96879	Unreliable	11.0	29.4	4.4
